SRR_accession	sample_alias	group
SRR22402286	351DLEM	tCD_control
SRR22402358	352LGE	tCD_control
SRR22402336	378PF	tCD_control
SRR22402315	381NB	tCD_control
SRR22402330	383MP	tCD_control
SRR22402374	387DCF	tCD_control
SRR22402370	390CG	tCD_control
SRR22402355	392AB	tCD_control
SRR22402353	397TE	tCD_control
SRR22402352	398AG	tCD_control
SRR22402351	399CE	tCD_control
SRR22402350	401IA	tCD_control
SRR22402349	402BRA	tCD_control
SRR22402384	403LR	tCD_control
SRR22402297	405GA	tCD_control
SRR22402275	406BR	tCD_control
SRR22402318	412VL	tCD_control
SRR22402347	416ST	tCD_control
SRR22402383	427AE	tCD_control
SRR22402317	436BC	tCD_control
SRR22402304	437BCM	tCD_control
SRR22402371	442GM	tCD_control
SRR22402264	Cii002	tCD_control
SRR22402365	Cii003	tCD_control
SRR22402369	Cii004	tCD_control
SRR22402368	Cii005	tCD_control
SRR22402367	Cii006	tCD_control
SRR22402292	Cii016	tCD_control
SRR22402299	Cii017	tCD_control
SRR22402291	Cii024	tCD_control
SRR22402305	Cii030	tCD_control
SRR22402277	Cii037	tCD_control
SRR22402270	Cii042	tCD_control
SRR22402265	Cii045	tCD_control
SRR22402259	Cii071	tCD_control
SRR22402258	Cii072	tCD_control
SRR22402327	Cii073	tCD_control
SRR22402319	Cii084	tCD_control
SRR22402310	Cii085	tCD_control
SRR22402306	CMa001	tCD_control
SRR22402303	CMa002	tCD_control
SRR22402328	CMa003	tCD_control
SRR22402332	CMa004	tCD_control
SRR22402331	CMa005	tCD_control
SRR22402266	CMa006	tCD_control
SRR22402307	CMa007	tCD_control
SRR22402333	CMa011	tCD_control
SRR22402329	CMa012	tCD_control
